Date,Hs,P,W
"2012-6-17-12",1.4213,101470.0000,1.5000
"2012-6-17-13",1.3927,101550.0000,1.5000
"2012-6-17-14",1.4285,101610.0000,3.5000
"2012-6-17-15",1.2695,101630.0000,6.7000
"2012-6-17-16",1.3584,101600.0000,8.3000
"2012-6-17-17",1.4236,101550.0000,6.1000
"2012-6-17-18",1.4249,101530.0000,6.9000
"2012-6-17-19",1.3722,101490.0000,6.1000
"2012-6-17-20",1.3674,101440.0000,6.2000
"2012-6-17-21",1.3960,101440.0000,7.6000
"2012-6-17-22",1.4719,101470.0000,8.1000
"2012-6-17-23",1.4912,101490.0000,7.7000
"2012-6-18-0",1.4954,101470.0000,7.7000
"2012-6-18-1",1.6152,101510.0000,6.3000
"2012-6-18-2",1.5044,101520.0000,4.7000
"2012-6-18-3",1.4924,101560.0000,5.4000
"2012-6-18-4",1.5027,101610.0000,7.4000
"2012-6-18-5",1.4849,101560.0000,9.0000
"2012-6-18-6",1.6601,101460.0000,8.1000
"2012-6-18-7",1.7192,101440.0000,11.2000
"2012-6-18-8",1.8051,101440.0000,9.1000
"2012-6-18-9",1.8182,101500.0000,0.8000
"2012-6-18-10",1.7893,101540.0000,1.9000
"2012-6-18-11",1.7984,101630.0000,4.0000
"2012-6-18-12",2.0123,101670.0000,6.9000
"2012-6-18-13",2.0002,101700.0000,2.6000
"2012-6-18-14",1.8083,101740.0000,4.5000
"2012-6-18-15",1.9530,101760.0000,8.5000
"2012-6-18-16",2.0729,101860.0000,0.5000
"2012-6-18-17",1.9943,101820.0000,3.3000
"2012-6-18-18",1.8376,101800.0000,6.0000
"2012-6-18-19",1.7273,101750.0000,6.6000
"2012-6-18-20",1.5024,101710.0000,6.3000
"2012-6-18-21",1.3809,101760.0000,7.1000
"2012-6-18-22",1.3396,101790.0000,7.6000
"2012-6-18-23",1.4253,101790.0000,8.5000
"2012-6-19-0",1.4385,101820.0000,9.0000
"2012-6-19-1",1.4395,101850.0000,8.9000
"2012-6-19-2",1.4914,101920.0000,8.6000
"2012-6-19-3",1.5335,101940.0000,7.2000
"2012-6-19-4",1.4916,101930.0000,7.3000
"2012-6-19-5",1.5470,101830.0000,7.6000
"2012-6-19-6",1.4450,101800.0000,10.9000
"2012-6-19-7",1.8360,101810.0000,7.2000
"2012-6-19-8",2.0675,101800.0000,9.2000
"2012-6-19-9",1.7789,101850.0000,7.7000
"2012-6-19-10",1.6913,101920.0000,7.1000
"2012-6-19-11",1.5499,101920.0000,6.0000
"2012-6-19-12",1.4375,101910.0000,6.2000
"2012-6-19-13",1.4290,101910.0000,5.1000
"2012-6-19-14",1.4945,101950.0000,5.4000
"2012-6-19-15",1.4047,101970.0000,5.5000
"2012-6-19-16",1.3353,101920.0000,4.3000
"2012-6-19-17",1.3383,101880.0000,4.0000
"2012-6-19-18",1.3063,101830.0000,5.7000
"2012-6-19-19",1.3824,101820.0000,8.1000
"2012-6-19-20",1.5272,101790.0000,6.1000
"2012-6-19-21",1.4335,101780.0000,6.0000
"2012-6-19-22",1.3531,101830.0000,6.1000
"2012-6-19-23",1.4690,101870.0000,6.8000
"2012-6-20-0",1.3512,101920.0000,8.3000
"2012-6-20-1",1.5234,101930.0000,7.9000
"2012-6-20-2",1.5596,101920.0000,7.4000
"2012-6-20-3",1.3880,101910.0000,7.5000
"2012-6-20-4",1.4080,101910.0000,7.5000
